Ref	Idx	Greek	Editions	TAGNT-Idx	SBL:Idx	SBL:TAGNT-Idx	NA28:Idx	NA28:TAGNT-Idx	RP05:Idx	RP05:TAGNT-Idx	|
Mat.1.18	@2:1	γένεσις	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.1.18	@2:2	γέννησις	RP TR	@6					@6	@6	|
Mat.1.18	@3:1	μνηστευθείσης	SBL WH Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.1.18	@3:2	γὰρ	RP TR	@10					@10	@10	|
Mat.1.19	@1:1	δειγματίσαι	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.1.19	@1:2	παραδειγματίσαι	RP TR	@80					@12	@80	|
Mat.1.20	@1:1	Μαρίαν	SBL WH NA28 NA27 NIV	@19	@19	@19	@19	@19			|
Mat.1.20	@1:2	Μαριὰμ	Treg RP TR	@19					@19	@19	|
Mat.1.22	@1:1	ὑπὸ	SBL WH Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.1.22	@1:2	τοῦ	RP TR	@10					@10	@10	|
Mat.1.24	@1:1	ἐγερθεὶς	SBL WH Treg NA28 NA27 NIV	@1	@1	@1	@1	@1			|
Mat.1.24	@1:2	Διεγερθεὶς	RP TR	@80					@1	@80	|
Mat.1.25	@1:1	υἱόν	SBL WH Treg NA28 NA27 NIV	@9	@8	@9	@8	@9			|
Mat.1.25	@1:2	τὸν	RP TR	@8					@8	@8	|
Mat.1.25	@1:3	υἱὸν	RP TR	@9					@9	@9	|
Mat.1.25	@1:4	αὐτῆς	RP TR	@10					@10	@10	|
Mat.1.25	@1:5	τὸν	RP TR	@11					@11	@11	|
Mat.1.25	@1:6	πρωτότοκον	RP TR	@12					@12	@12	|
Mat.2.3	@1:1	ὁ	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.2.3	@1:2	βασιλεὺς	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.2.3	@1:3	Ἡρῴδης	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.2.3	@1:4	Ἡρῴδης	RP TR	@5					@3	@5	|
Mat.2.3	@1:5	ὁ	RP TR	@3					@4	@3	|
Mat.2.3	@1:6	βασιλεὺς	RP TR	@4					@5	@4	|
Mat.2.8	@1:1	ἐξετάσατε	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.2.8	@1:2	ἀκριβῶς	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.2.8	@1:3	ἀκριβῶς	RP TR	@9					@8	@9	|
Mat.2.8	@1:4	ἐξετάσατε	RP TR	@8					@9	@8	|
Mat.2.9	@1:1	ἐστάθη	SBL WH Treg NA28 NA27 NIV	@20	@20	@20	@20	@20			|
Mat.2.9	@1:2	ἔστη	RP TR	@80					@20	@80	|
Mat.2.13	@1:1	φαίνεται	SBL WH RP NA28 NA27 NIV TR	@7	@7	@7	@7	@7	@7	@7	|
Mat.2.13	@1:2	κατʼ	SBL WH RP NA28 NA27 NIV TR	@8	@8	@8	@8	@8	@8	@8	|
Mat.2.13	@1:3	ὄναρ	SBL WH RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.2.13	@1:4	κατʼ	Treg								|
Mat.2.13	@1:5	ὄναρ	Treg								|
Mat.2.13	@1:6	φαίνεται	Treg								|
Mat.2.15	@1:1	ὑπὸ	SBL WH Treg RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
Mat.2.15	@1:2	τοῦ	RP TR	@13					@13	@13	|
Mat.2.17	@1:1	διὰ	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.2.17	@1:2	ὑπὸ	RP TR	@80					@5	@80	|
Mat.2.18	@1:1	ἠκούσθη	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Mat.2.18	@1:2	θρῆνος	RP TR	@5					@5	@5	|
Mat.2.18	@1:3	καὶ	RP TR	@6					@6	@6	|
Mat.2.19	@1:1	φαίνεται	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.2.19	@1:2	κατʼ	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.2.19	@1:3	ὄναρ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.2.19	@1:4	κατʼ	RP TR	@9					@8	@9	|
Mat.2.19	@1:5	ὄναρ	RP TR	@10					@9	@10	|
Mat.2.19	@1:6	φαίνεται	RP TR	@8					@10	@8	|
Mat.2.21	@1:1	εἰσῆλθεν	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.2.21	@1:2	ἦλθεν	RP TR	@80					@12	@80	|
Mat.2.22	@1:1	βασιλεύει	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Mat.2.22	@1:2	ἐπὶ	Treg RP TR	@6					@6	@6	|
Mat.2.22	@2:1	τοῦ	SBL WH Treg NA28 NA27 NIV	@10	@9	@10	@9	@10			|
Mat.2.22	@2:2	πατρὸς	SBL WH Treg NA28 NA27 NIV	@11	@10	@11	@10	@11			|
Mat.2.22	@2:3	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@12	@11	@12	@11	@12			|
Mat.2.22	@2:4	Ἡρῴδου	SBL WH Treg NA28 NA27 NIV	@13	@12	@13	@12	@13			|
Mat.2.22	@2:5	Ἡρῴδου	RP TR	@13					@10	@13	|
Mat.2.22	@2:6	τοῦ	RP TR	@10					@11	@10	|
Mat.2.22	@2:7	πατρὸς	RP TR	@11					@12	@11	|
Mat.2.22	@2:8	αὐτοῦ	RP TR	@12					@13	@12	|
Mat.3.2	@1:1	καὶ	SBL Treg RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Mat.3.3	@1:1	διὰ	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.3.3	@1:2	ὑπὸ	RP TR	@80					@6	@80	|
Mat.3.4	@1:1	ἦν	SBL WH Treg NA28 NA27 NIV	@22	@22	@22	@22	@22			|
Mat.3.4	@1:2	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@23	@23	@23	@23	@23			|
Mat.3.4	@1:3	αὐτοῦ	RP TR	@23					@22	@23	|
Mat.3.4	@1:4	ἦν	RP TR	@22					@23	@22	|
Mat.3.6	@1:1	ποταμῷ	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.3.7	@1:1	αὐτοῦ	SBL Treg RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
Mat.3.10	@1:1	δὲ	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.3.10	@1:2	καὶ	RP TR	@3					@3	@3	|
Mat.3.11	@1:1	ὑμᾶς	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.3.11	@1:2	βαπτίζω	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.3.11	@1:3	βαπτίζω	RP TR	@4					@3	@4	|
Mat.3.11	@1:4	ὑμᾶς	RP TR	@3					@4	@3	|
Mat.3.11	@2:1	καὶ	SBL WH Treg NA28 NA27 NIV	@30	@30	@30	@30	@30			|
Mat.3.11	@2:2	πυρί	SBL WH Treg NA28 NA27 NIV	@31	@31	@31	@31	@31			|
Mat.3.12	@1:1	ἀποθήκην	SBL WH Treg RP NA28 NA27 NIV TR	@20	@20	@20	@20	@20	@20	@20	|
Mat.3.12	@1:2	αὐτοῦ	Treg								|
Mat.3.14	@1:1	Ἰωάννης	SBL Treg RP NA28 NA27 NIV TR	@3	@3	@3	@3	@3	@3	@3	|
Mat.3.15	@1:1	πρὸς	SBL Treg RP NA28 NA27 NIV TR	@6	@6	@6	@6	@6	@6	@6	|
Mat.3.15	@1:2	αὐτόν	SBL Treg RP NA28 NA27 NIV TR	@7	@7	@7	@7	@7	@7	@7	|
Mat.3.15	@1:3	αὐτῷ	WH								|
Mat.3.16	@1:1	βαπτισθεὶς	SBL WH Treg NA28 NA27 NIV	@2	@1	@2	@1	@2			|
Mat.3.16	@1:2	δὲ	SBL WH Treg NA28 NA27 NIV	@3	@2	@3	@2	@3			|
Mat.3.16	@1:3	Καὶ	RP TR	@1					@1	@1	|
Mat.3.16	@1:4	βαπτισθεὶς	RP TR	@2					@2	@2	|
Mat.3.16	@2:1	εὐθὺς	SBL WH Treg NA28 NA27 NIV	@6	@5	@6	@5	@6			|
Mat.3.16	@2:2	ἀνέβη	SBL WH Treg NA28 NA27 NIV	@7	@6	@7	@6	@7			|
Mat.3.16	@2:3	ἀνέβη	RP TR	@7					@5	@7	|
Mat.3.16	@2:4	εὐθὺς	RP TR	@6					@6	@6	|
Mat.3.16	@3:1	ἠνεῴχθησαν	SBL WH Treg RP NA28 NA27 NIV TR	@13	@12	@13	@12	@13	@12	@13	|
Mat.3.16	@3:2	αὐτῷ	Treg RP NA28 NA27 TR	@14			@13	@14	@13	@14	|
Mat.3.16	@4:1	πνεῦμα	SBL WH	@20	@17	@20					|
Mat.3.16	@4:2	τὸ	Treg RP NA28 NA27 NIV TR	@19			@18	@19	@18	@19	|
Mat.3.16	@4:3	πνεῦμα	Treg RP NA28 NA27 NIV TR	@20			@19	@20	@19	@20	|
Mat.3.16	@4:4	τοῦ	Treg RP NA28 NA27 NIV TR	@21			@20	@21	@20	@21	|
Mat.3.16	@5:1	περιστερὰν	SBL WH Treg RP NA28 NA27 NIV TR	@25	@21	@25	@24	@25	@24	@25	|
Mat.3.16	@5:2	καὶ	Treg RP NA28 NA27 NIV TR	@26			@25	@26	@25	@26	|
Mat.4.3	@1:1	ὁ	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.4.3	@1:2	πειράζων	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.4.3	@1:3	εἶπεν	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.4.3	@1:4	αὐτῷ	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.4.3	@1:5	αὐτῷ	RP TR	@6					@3	@6	|
Mat.4.3	@1:6	ὁ	RP TR	@3					@4	@3	|
Mat.4.3	@1:7	πειράζων	RP TR	@4					@5	@4	|
Mat.4.3	@1:8	εἶπεν	RP TR	@5					@6	@5	|
Mat.4.4	@1:1	ὁ	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.4.4	@2:1	ἐπὶ	SBL WH RP NA28 NA27 NIV TR	@14	@14	@14	@14	@14	@13	@14	|
Mat.4.4	@2:2	ἐν	Treg								|
Mat.4.5	@1:1	ἔστησεν	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.4.5	@1:2	ἵστησιν	RP TR	@80					@11	@80	|
Mat.4.9	@1:1	εἶπεν	SBL WH Treg NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Mat.4.9	@1:2	λέγει	RP TR	@80					@2	@80	|
Mat.4.9	@2:1	σοι	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.4.9	@2:2	πάντα	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.4.9	@2:3	πάντα	RP TR	@6					@5	@6	|
Mat.4.9	@2:4	σοι	RP TR	@5					@6	@5	|
Mat.4.10	@1:1	Ὕπαγε	SBL WH Treg RP NA28 NA27 NIV TR	@6	@6	@6	@6	@6	@6	@6	|
Mat.4.10	@1:2	ὀπίσω	RP NIV TR	@7					@7	@7	|
Mat.4.10	@1:3	μου	RP NIV TR	@8					@8	@8	|
Mat.4.12	@1:1	δὲ	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.4.12	@1:2	ὁ	RP TR	@3					@3	@3	|
Mat.4.12	@1:3	Ἰησοῦς	RP TR	@4					@4	@4	|
Mat.4.16	@1:1	σκοτίᾳ	SBL WH Treg	@80	@6	@80					|
Mat.4.16	@1:2	σκότει	RP NA28 NA27 NIV TR	@6			@6	@6	@6	@6	|
Mat.4.16	@2:1	φῶς	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.4.16	@2:2	εἶδεν	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.4.16	@2:3	εἶδεν	RP TR	@8					@7	@8	|
Mat.4.16	@2:4	φῶς	RP TR	@7					@8	@7	|
Mat.4.23	@1:1	ἐν	SBL WH NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.4.23	@1:2	ὅλῃ	SBL WH NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.4.23	@1:3	τῇ	SBL WH NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.4.23	@1:4	Γαλιλαίᾳ	SBL WH NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.4.23	@1:5	ὁ	Treg								|
Mat.4.23	@1:6	Ἰησοῦς	Treg								|
Mat.4.23	@1:7	ἐν	Treg								|
Mat.4.23	@1:8	ὅλῃ	Treg								|
Mat.4.23	@1:9	τῇ	Treg								|
Mat.4.23	@1:10	Γαλιλαίᾳ	Treg								|
Mat.4.23	@1:11	ὅλην	RP TR	@80					@3	@80	|
Mat.4.23	@1:12	τὴν	RP TR	@81					@4	@81	|
Mat.4.23	@1:13	Γαλιλαίαν	RP TR	@82					@5	@82	|
Mat.4.23	@1:14	ὁ	RP TR	@7					@6	@7	|
Mat.4.23	@1:15	Ἰησοῦς	RP TR	@8					@7	@8	|
Mat.4.24	@1:1	συνεχομένους	SBL WH Treg RP NA28 NA27 NIV TR	@21	@21	@21	@21	@21	@21	@21	|
Mat.4.24	@1:2	καὶ	RP NA28 NA27 NIV TR	@22			@22	@22	@22	@22	|
Mat.5.11	@1:1	πονηρὸν	SBL WH Treg RP NA28 NA27 NIV TR	@11	@11	@11	@11	@11	@11	@11	|
Mat.5.11	@1:2	ῥῆμα	RP TR	@12					@12	@12	|
Mat.5.13	@1:1	βληθὲν	SBL WH Treg NA28 NA27 NIV	@21	@21	@21	@21	@21			|
Mat.5.13	@1:2	ἔξω	SBL WH Treg NA28 NA27 NIV	@22	@22	@22	@22	@22			|
Mat.5.13	@1:3	βληθῆναι	RP TR	@80					@21	@80	|
Mat.5.13	@1:4	ἔξω	RP TR	@22					@22	@22	|
Mat.5.13	@1:5	καὶ	RP TR	@23					@23	@23	|
Mat.5.20	@1:1	ὑμῶν	SBL WH NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.5.20	@1:2	ἡ	SBL WH NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.5.20	@1:3	δικαιοσύνη	SBL WH NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.5.20	@1:4	ἡ	Treg RP TR	@9					@8	@9	|
Mat.5.20	@1:5	δικαιοσύνη	Treg RP TR	@10					@9	@10	|
Mat.5.20	@1:6	ὑμῶν	Treg RP TR	@8					@10	@8	|
Mat.5.22	@1:1	αὐτοῦ	SBL WH Treg RP NA28 NA27 NIV TR	@11	@11	@11	@11	@11	@11	@11	|
Mat.5.22	@1:2	εἰκῆ	Treg RP TR	@12					@12	@12	|
Mat.5.25	@1:1	μετʼ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.5.25	@1:2	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Mat.5.25	@1:3	ἐν	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.5.25	@1:4	τῇ	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.5.25	@1:5	ὁδῷ	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Mat.5.25	@1:6	ἐν	RP TR	@12					@10	@12	|
Mat.5.25	@1:7	τῇ	RP TR	@13					@11	@13	|
Mat.5.25	@1:8	ὁδῷ	RP TR	@14					@12	@14	|
Mat.5.25	@1:9	μετʼ	RP TR	@10					@13	@10	|
Mat.5.25	@1:10	αὐτοῦ	RP TR	@11					@14	@11	|
Mat.5.25	@2:1	κριτὴς	SBL WH Treg RP NA28 NA27 NIV TR	@24	@24	@24	@24	@24	@24	@24	|
Mat.5.25	@2:2	σε	Treg RP TR	@25					@25	@25	|
Mat.5.25	@2:3	παραδῷ	Treg RP TR	@26					@26	@26	|
Mat.5.30	@1:1	εἰς	SBL WH Treg NA28 NA27 NIV	@30	@30	@30	@30	@30			|
Mat.5.30	@1:2	γέενναν	SBL WH Treg NA28 NA27 NIV	@31	@31	@31	@31	@31			|
Mat.5.30	@1:3	ἀπέλθῃ	SBL WH Treg NA28 NA27 NIV	@32	@32	@32	@32	@32			|
Mat.5.30	@1:4	βληθῇ	RP TR	@80					@30	@80	|
Mat.5.30	@1:5	εἰς	RP TR	@30					@31	@30	|
Mat.5.30	@1:6	γέενναν	RP TR	@31					@32	@31	|
Mat.5.31	@1:1	δέ	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Mat.5.31	@1:2	ὅτι	RP TR	@3					@3	@3	|
Mat.5.32	@1:1	πᾶς	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.5.32	@1:2	ὁ	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Mat.5.32	@1:3	ἀπολύων	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Mat.5.32	@1:4	ὃς	RP TR	@83					@6	@83	|
Mat.5.32	@1:5	ἂν	RP TR	@81					@7	@81	|
Mat.5.32	@1:6	ἀπολύσῃ	RP TR	@80					@8	@80	|
Mat.5.32	@2:1	μοιχευθῆναι	SBL WH Treg NA28 NA27 NIV	@17	@17	@17	@17	@17			|
Mat.5.32	@2:2	μοιχᾶσθαι	RP TR	@82					@17	@82	|
Mat.5.36	@1:1	ποιῆσαι	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.5.36	@1:2	ἢ	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Mat.5.36	@1:3	μέλαιναν	SBL WH Treg NA28 NA27 NIV	@15	@15	@15	@15	@15			|
Mat.5.36	@1:4	ἢ	RP TR	@14					@13	@14	|
Mat.5.36	@1:5	μέλαιναν	RP TR	@15					@14	@15	|
Mat.5.36	@1:6	ποιῆσαι	RP TR	@13					@15	@13	|
Mat.5.39	@1:1	ῥαπίζει	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Mat.5.39	@1:2	ῥαπίσει	RP TR	@80					@12	@80	|
Mat.5.39	@2:1	εἰς	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.5.39	@2:2	ἐπί	RP TR	@81					@13	@81	|
Mat.5.39	@3:1	σιαγόνα	SBL WH Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Mat.5.39	@3:2	σου	WH Treg NA28 NA27	@17			@17	@17			|
Mat.5.42	@1:1	δός	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.5.42	@1:2	δίδου	RP TR	@80					@4	@80	|
Mat.5.44	@1:1	ὑμῶν	SBL WH Treg RP NA28 NA27 NIV TR	@8	@8	@8	@8	@8	@8	@8	|
Mat.5.44	@1:2	εὐλογεῖτε	RP TR	@9					@9	@9	|
Mat.5.44	@1:3	τοὺς	RP TR	@10					@10	@10	|
Mat.5.44	@1:4	καταρωμένους	RP TR	@11					@11	@11	|
Mat.5.44	@1:5	ὑμᾶς	RP TR	@12					@12	@12	|
Mat.5.44	@1:6	καλῶς	RP TR	@13					@13	@13	|
Mat.5.44	@1:7	ποιεῖτε	RP TR	@14					@14	@14	|
Mat.5.44	@1:8	τοῖς	RP TR	@15					@15	@15	|
Mat.5.44	@1:9	μισοῦσιν	RP TR	@16					@16	@16	|
Mat.5.44	@1:10	ὑμᾶς	RP TR	@17					@17	@17	|
Mat.5.44	@2:1	τῶν	SBL WH Treg RP NA28 NA27 NIV TR	@21	@12	@21	@12	@21	@21	@21	|
Mat.5.44	@2:2	ἐπηρεαζόντων	RP TR	@22					@22	@22	|
Mat.5.44	@2:3	ὑμᾶς	RP TR	@23					@23	@23	|
Mat.5.44	@2:4	καὶ	RP TR	@24					@24	@24	|
Mat.5.45	@1:1	ἐν	SBL WH Treg RP NA28 NA27 NIV TR	@8	@8	@8	@8	@8	@8	@8	|
Mat.5.45	@1:2	τοῖς	RP TR	@9					@9	@9	|
Mat.5.46	@1:1	τὸ	SBL WH RP NA28 NA27 NIV TR	@14	@14	@14	@14	@14	@14	@14	|
Mat.5.46	@1:2	αὐτὸ	SBL WH RP NA28 NA27 NIV TR	@15	@15	@15	@15	@15	@15	@15	|
Mat.5.46	@1:3	οὕτως	Treg								|
Mat.5.47	@1:1	ἀδελφοὺς	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.5.47	@1:2	φίλους	RP TR	@80					@5	@80	|
Mat.5.47	@2:1	ἐθνικοὶ	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Mat.5.47	@2:2	τελῶναι	RP TR	@81					@14	@81	|
Mat.5.47	@3:1	τὸ	SBL WH Treg NA28 NA27 NIV	@15	@15	@15	@15	@15			|
Mat.5.47	@3:2	αὐτὸ	SBL WH Treg NA28 NA27 NIV	@16	@16	@16	@16	@16			|
Mat.5.47	@3:3	οὕτως	RP TR	@82					@15	@82	|
Mat.5.48	@1:1	ὡς	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.5.48	@1:2	ὥσπερ	RP TR	@82					@5	@82	|
Mat.5.48	@2:1	οὐράνιος	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.5.48	@2:2	ἐν	RP TR	@80					@10	@80	|
Mat.5.48	@2:3	τοῖς	RP TR	@81					@11	@81	|
Mat.5.48	@2:4	οὐρανοῖς	RP TR	@83					@12	@83	|
Mat.6.1	@1:1	δὲ	SBL WH NA28 NA27	@2	@2	@2	@2	@2			|
Mat.6.1	@2:1	δικαιοσύνην	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.6.1	@2:2	ἐλεημοσύνην	RP TR	@80					@3	@80	|
Mat.6.4	@1:1	κρυπτῷ	SBL WH Treg RP NA28 NA27 NIV TR	@17	@17	@17	@17	@17	@17	@17	|
Mat.6.4	@1:2	αὑτὸς	RP TR	@18					@18	@18	|
Mat.6.4	@2:1	σοι	SBL WH Treg RP NA28 NA27 NIV TR	@20	@19	@20	@19	@20	@20	@20	|
Mat.6.4	@2:2	ἐν	RP TR	@21					@21	@21	|
Mat.6.4	@2:3	τῷ	RP TR	@22					@22	@22	|
Mat.6.4	@2:4	φανερῷ	RP TR	@23					@23	@23	|
Mat.6.5	@1:1	προσεύχησθε,	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Mat.6.5	@1:2	οὐκ	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Mat.6.5	@1:3	ἔσεσθε	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.6.5	@1:4	ὡς	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Mat.6.5	@1:5	προσεύχῃ	RP TR	@80					@3	@80	|
Mat.6.5	@1:6	οὐκ	RP TR	@4					@4	@4	|
Mat.6.5	@1:7	ἔσῃ	RP TR	@81					@5	@81	|
Mat.6.5	@1:8	ὥσπερ	RP TR	@82					@6	@82	|
Mat.6.5	@2:1	ὅπως	SBL WH Treg RP NA28 NA27 NIV TR	@22	@22	@22	@22	@22	@22	@22	|
Mat.6.5	@2:2	ἂν	RP TR	@23					@23	@23	|
Mat.6.5	@3:1	ὑμῖν	SBL WH Treg RP NA28 NA27 NIV TR	@29	@28	@29	@28	@29	@29	@29	|
Mat.6.5	@3:2	ὅτι	RP TR	@30					@30	@30	|
Mat.6.6	@1:1	σοι	SBL WH Treg RP NA28 NA27 NIV TR	@33	@33	@33	@33	@33	@33	@33	|
Mat.6.6	@1:2	ἐν	RP TR	@34					@34	@34	|
Mat.6.6	@1:3	τῷ	RP TR	@35					@35	@35	|
Mat.6.6	@1:4	φανερῷ	RP TR	@36					@36	@36	|
Mat.6.8	@1:1	ὁ	SBL WH Treg RP NA28 NA27 NIV TR	@9	@7	@9	@7	@9	@7	@9	|
Mat.6.8	@1:2	θεὸς	WH								|
Mat.6.8	@1:3	ὁ	WH								|
Mat.6.10	@1:1	ἐπὶ	SBL WH Treg RP NA28 NA27 NIV TR	@13	@13	@13	@13	@13	@13	@13	|
Mat.6.10	@1:2	τῆς	RP TR	@14					@14	@14	|
Mat.6.12	@1:1	ἀφήκαμεν	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Mat.6.12	@1:2	ἀφίεμεν	RP TR	@80					@10	@80	|
Mat.6.13	@1:1	πονηροῦ	SBL WH Treg RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
